num_splits,buy_threshold,investment_ratio,Average_Total_Value,Average_CAGR
10,30,0.2,307146069.7,0.117316317
10,40,0.3,298027848.3,0.113965318
10,45,0.2,299121450,0.113135144
10,35,0.2,294340385,0.112741684
10,40,0.35,287041552.3,0.110464346
15,45,0.2,282257667.5,0.108988216
15,40,0.2,282574235.3,0.108711702
10,40,0.2,278898564.7,0.107792145
15,35,0.25,277405338.8,0.107002439
10,50,0.2,277114735,0.10674281
10,30,0.4,280704792.3,0.106095626
10,20,0.3,281420274.7,0.105733155
20,45,0.25,277947597.7,0.105489703
10,40,0.4,272935384.2,0.105118968
10,35,0.25,276892798.3,0.10405939
10,50,0.3,287464916.3,0.103551865
15,40,0.25,274054634.5,0.103401186
10,40,0.25,270269454.8,0.102514711
10,30,0.3,266185853.7,0.099805943
15,45,0.25,259140133,0.099581832
15,45,0.35,268005833.2,0.099424204
20,35,0.2,256250128.3,0.098255039
15,40,0.35,257703223.5,0.098032108
15,35,0.2,253776908.5,0.097619216
10,50,0.4,255551799.2,0.097306525
10,45,0.35,257433019.2,0.096932101
10,40,0.1,252654045.2,0.096695487
10,50,0.1,250398135.3,0.095896844
20,40,0.25,253304052.7,0.095813752
10,30,0.1,249874056.2,0.095363961
10,45,0.25,247667316.5,0.094678847
30,50,0.4,244838258.5,0.092520035
20,40,0.2,246379203.8,0.092194278
15,35,0.35,240941681.8,0.091588499
30,50,0.2,240671041.8,0.090843244
20,45,0.35,240932915.8,0.089767068
20,40,0.35,235973599,0.088694269
30,40,0.3,234876760.7,0.08796747
20,45,0.2,231848007.3,0.086851945
30,50,0.3,230553303.5,0.086231597
10,35,0.35,228305329.3,0.085717887
30,40,0.4,233013923.7,0.085341778
30,30,0.2,218707976.7,0.081378121
20,35,0.25,221835431,0.081321351
30,40,0.2,222075455.2,0.081028728
20,35,0.35,217551846.7,0.080008237
10,20,0.2,214753123.7,0.07798683
30,30,0.3,213716079.8,0.077461103
30,30,0.4,213689505.2,0.075672208
10,20,0.4,193858046.8,0.06398148
30,50,0.1,182189904.2,0.061718798
30,20,0.3,179361437,0.058435478
30,40,0.1,176689504.3,0.057623739
30,30,0.1,174301469.8,0.056875518
10,20,0.1,171803681,0.055419786
30,20,0.2,166172916.7,0.051809167
30,20,0.4,171269057.3,0.050617429
30,20,0.1,128199310.7,0.025143849
