num_splits,buy_threshold,investment_ratio,consider_delisting,max_stocks,Average_Total_Value,Average_CAGR,Average_MDD
20,30,0.35,FALSE,50,861356150.4,0.156576106,0.547574539
20,30,0.3,FALSE,50,891525409,0.155078197,0.550685187
20,35,0.3,FALSE,40,816577369.2,0.155072359,0.52876521
15,35,0.3,FALSE,40,887729491.8,0.153350463,0.548323659
15,30,0.3,FALSE,50,832901532.6,0.151836406,0.557237616
20,35,0.35,FALSE,40,869198930.2,0.147712577,0.548598595
20,30,0.4,FALSE,50,737620587.8,0.147245468,0.549280416
15,35,0.3,FALSE,50,780776680.6,0.145849758,0.534362322
15,30,0.35,FALSE,50,708139654.8,0.145536187,0.534121702
10,30,0.35,FALSE,40,714313933.2,0.145185919,0.528240893
15,30,0.4,FALSE,40,707638305.4,0.1451304,0.556231745
10,35,0.35,FALSE,50,724463491.8,0.14490466,0.527539557
20,35,0.35,FALSE,50,776053643.6,0.14445703,0.53720755
20,35,0.3,FALSE,50,730398052,0.14437497,0.532219681
10,30,0.4,FALSE,40,766051048,0.144208073,0.519531719
10,30,0.35,FALSE,50,779786628.6,0.143851852,0.512676577
15,30,0.4,FALSE,50,739815174.2,0.14365255,0.528278428
10,30,0.3,FALSE,50,710313915.4,0.143249757,0.530411806
10,35,0.3,FALSE,50,692869578.4,0.143045379,0.504280779
20,35,0.4,FALSE,50,739262596.8,0.142598077,0.549767664
15,30,0.35,FALSE,40,690593226.6,0.142057563,0.53163911
10,30,0.4,FALSE,50,633336893,0.140831755,0.529869163
10,35,0.4,FALSE,50,688198997.6,0.14067226,0.515393731
10,35,0.4,FALSE,40,700636432.4,0.138717976,0.518082759
20,30,0.35,FALSE,40,664516233.8,0.138137394,0.571376323
15,30,0.3,FALSE,40,682046502.2,0.138028219,0.571337259
20,30,0.4,FALSE,40,670205474.8,0.137839107,0.545607156
15,35,0.35,FALSE,40,627503950.4,0.13675868,0.552056553
20,35,0.4,FALSE,40,704220833.2,0.133568242,0.554163293
15,35,0.4,FALSE,40,632323184.2,0.133067856,0.536861456
10,35,0.35,FALSE,40,669799720.4,0.132399879,0.543705578
10,35,0.3,FALSE,40,548882551.6,0.128361893,0.539901514
15,35,0.35,FALSE,50,538952567.4,0.125791605,0.539636275
15,35,0.4,FALSE,50,538349271.4,0.123623987,0.535649429
20,30,0.3,FALSE,40,810761757,0.153553414,0.558724884
10,30,0.2,FALSE,40,763918028.8,0.14358701,0.55684883
30,30,0.3,FALSE,40,718473700,0.142222893,0.53780004
10,30,0.3,FALSE,40,701908375.8,0.141693711,0.541042766
10,50,0.3,FALSE,30,652302622.4,0.138454823,0.489472999
20,30,0.2,FALSE,40,639736093.4,0.137520703,0.566786934
30,30,0.2,FALSE,40,673613693.4,0.136641679,0.536780692
20,30,0.3,FALSE,30,649673511.2,0.135650292,0.55495711
10,30,0.3,FALSE,30,617640897.4,0.133614328,0.542411408
